tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
4cfc,swahili,0,34.39,34.3,0,16.43,36.93,28.77,0,2.9,34.84,33.33,0, yes
4d49,nhanda,41.37,83.72,81.69,12.5,,,,,41.37,83.72,81.69,12.5, no
4e2d,swahili,100,100,100,100,,,,,100,100,100,100, yes
50df,teop,62.85,84.59,86.64,0,100,100,100,100,78.77,91.19,92.36,42.86, ERROR
55c3,georgian,0,0,0,0,85.18,93.84,95,50,42.59,46.92,47.5,25, yes
55fe,waanyi,30.14,73.24,44.1,0,42.43,61.02,55.88,16.67,37.51,65.91,51.17,10, no
602b,hungarian,35.17,65.9,49.99,0,,,,,35.17,65.9,49.99,0, yes
64ab,bulgarian,83.33,93.54,96.1,66.67,,,,,83.33,93.54,96.1,66.67, yes
662e,beja,0,0,0,0,20.96,52.95,45.11,0,10.48,26.47,22.56,0, no
665c,classical,0,68.62,68.75,0,76.29,83.96,86.11,66.67,45.77,77.82,79.17,40, no
68d4,kimbundu,0,0,0,0,45.44,59.83,61.57,0,22.72,29.92,30.79,0, no
69f6,persian,,,,,66.67,84.32,73.33,50,66.67,84.32,73.33,50, yes
6a85,swahili,53.03,91.72,86.81,75,,,,,53.03,91.72,86.81,75, yes
6bc8,zoque,28.87,79.38,66.93,0,78.87,92.49,88.89,50,45.53,83.75,74.25,16.67, no
6d7b,yoruba,21.65,47.03,28.69,0,,,,,21.65,47.03,28.69,0, yes
75c6,quechua,17.68,67.34,64.44,25,0,0,0,0,14.14,53.87,51.56,20, yes
7d1c,irish,35.36,72.51,76.39,50,70.71,100,100,100,53.03,86.26,88.19,75, yes
7f4f,ancient,35.21,74.07,85.15,0,,,,,35.21,74.07,85.15,0, yes
87fc,abkhaz,38.49,80.42,78.82,0,69.81,81.36,70.77,33.33,54.15,80.89,74.8,16.67, no
8d3f,abui,0,52.03,49.04,0,25.33,44.61,17.86,0,6.33,50.18,41.24,0, no
8fbc,inuktitut,0,73.05,72.73,0,51,77.03,75.11,16.67,27.82,75.22,74.03,9.09, yes
943f,lamjung,70.81,86.77,80.32,0,82.43,86.67,100,100,79.11,86.7,94.38,71.43, no
95d4,muna,11.9,61.23,53.19,0,34.71,74.62,67.05,0,19.5,65.69,57.81,0, no
95d6,nahuatl,0,0,0,0,65.34,67.7,52.93,33.33,35.64,36.93,28.87,18.18, yes
9cb2,tadaksahak,0,0,0,0,64.06,72.73,60.87,50,28.47,32.32,27.05,22.22, no
a160,papiamento,60.67,78.27,82.96,33.33,48.35,74.63,77.98,0,56.57,77.06,81.3,22.22, yes
a8b1,maori,91.66,95.32,92.14,66.67,100,100,100,100,95.83,97.66,96.07,83.33, yes
a8cb,swahili,47.14,91.2,91.83,66.67,,,,,47.14,91.2,91.83,66.67, yes
ad49,turkish,35.36,63.16,62.5,50,,,,,35.36,63.16,62.5,50, yes
b2fd,nen,83.33,96.7,93.38,66.67,,,,,83.33,96.7,93.38,66.67, no
b4a8,íslenska,52.44,72.18,76.1,0,,,,,52.44,72.18,76.1,0, ERROR
b808,lakhota,49.64,79.99,86.92,0,46.23,78.52,59.99,0,47.93,79.25,73.45,0, yes
ba5a,lopit,12.89,52.26,51.19,0,,,,,12.89,52.26,51.19,0, no
bb64,hmong,24.99,35.94,25.64,0,,,,,24.99,35.94,25.64,0, ERROR
c112,udihe,9.62,69.79,74.24,0,64.49,84.98,84.26,40,43.92,79.29,80.5,25, no
c35c,hungarian,23.57,51.3,55.95,33.33,33.42,73.73,41.05,0,27.51,60.27,49.99,20, yes
c526,basque,76.93,95.97,94.65,50,100,100,100,100,86.82,97.7,96.94,71.43, yes
c66f,tanna,21.55,55.12,45.42,0,,,,,21.55,55.12,45.42,0, yes
c9ef,malay,66.06,87.63,89.8,40,,,,,66.06,87.63,89.8,40, yes
cc31,esperanto,0,0,0,0,46.96,67.47,61.41,0,23.48,33.74,30.71,0, yes
d0de,somali,9.43,64.41,81.31,13.33,,,,,9.43,64.41,81.31,13.33, yes
d48a,yidiny,17.68,79.39,73.27,25,100,100,100,100,45.12,86.26,82.18,50, no
d524,georgian,,,,,69.36,79.6,86.64,50,69.36,79.6,86.64,50, yes
d97a,kayapo,34.59,48.4,58.21,25,84.92,89.07,92,66.67,56.16,65.83,72.69,42.86, no
db79,haitian,9.28,22.11,15.02,0,50,45.11,41.18,0,12.67,24.02,17.2,0, yes
deb4,proto-algonquian,0,78.91,73.66,0,100,100,100,100,33.33,85.94,82.44,33.33, no
e08a,jaqaru,0,65.27,72.24,0,64.01,72.18,75.91,0,21.34,67.58,73.46,0, no
e36b,witsuwit’en,,,,,0,9.62,9.09,0,0,9.62,9.09,0, no
e9c1,copainalá,28.45,64.98,69,16.67,78.83,85.53,82.86,50,53.64,75.25,75.93,33.33, no
eae7,bamanan-kan,21.31,38.3,34.24,20,3.16,19.06,10.83,0,16.77,33.49,28.39,15, yes
ed4b,tshiluba,44.14,80.17,81.94,40,90.24,100,100,100,61.43,87.6,88.71,62.5, no
edaf,amele,0,0,0,0,,,,,0,0,0,0, no
f003,abma,82.7,92.48,87.02,71.43,86.17,89.28,81.82,66.67,83.74,91.52,85.46,70, no
f020,bulgarian,81.15,90.58,87.73,60,100,100,100,100,91.43,95.72,94.42,81.82, yes
f9b2,nung,0,0,0,0,32.82,63.25,54.03,0,16.41,31.63,27.02,0, no
f9e7,afrihili,0,59.3,47.4,0,0,43.44,36.3,0,0,54.54,44.07,0, no 
overall,average,30.5,61.71,59.83,21.73,57.56,72.53,68.28,37.02,40.09,65.55,62.83,27.15,
